Shortcut,Action,Application,OS,Category,Description,Frequency
Win+F3,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F4,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F5,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F6,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F7,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F8,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F9,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F10,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F11,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F12,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F13,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F14,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F15,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F16,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F17,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F18,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F19,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F20,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F21,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F22,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F23,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+F24,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+0,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+1,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+2,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+3,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+4,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+5,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+6,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+7,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+8,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Win+9,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+A,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+B,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+C,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+D,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+E,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+G,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+H,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+I,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+J,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+K,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+L,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+M,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+N,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+O,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+P,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+Q,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+R,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+S,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+T,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+U,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+V,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+W,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+X,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+Y,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+Z,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F10,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F11,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F12,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F13,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F14,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F15,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F16,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F17,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F18,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F19,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F20,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F21,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F22,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F23,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+F24,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+0,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+A,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+B,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+C,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+D,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+E,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+G,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+H,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+I,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+J,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+K,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+L,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+M,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+N,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+O,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+P,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+Q,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+R,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+S,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+T,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+U,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+V,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+W,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+X,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+Y,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+Z,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F10,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F11,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F12,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F13,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F14,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F15,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F16,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F17,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F18,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F19,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F20,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F21,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F22,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F23,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+F24,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+0,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Alt+9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+A,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+B,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+C,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+D,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+E,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+G,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+H,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+I,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+J,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+K,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+L,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+M,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+N,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+O,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+P,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+Q,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+R,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+S,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+T,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+U,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+V,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+W,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+X,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+Y,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+Z,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F10,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F11,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F12,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F13,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F14,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F15,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F16,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F17,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F18,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F19,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F20,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F21,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F22,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F23,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+F24,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+0,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Shift+9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+A,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+B,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+C,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+D,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+E,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+G,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+H,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+I,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+J,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+K,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+L,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+M,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+N,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+O,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+P,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+Q,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+R,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+S,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+T,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+U,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+V,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+W,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+X,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+Y,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+Z,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F10,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F11,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F12,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F13,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F14,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F15,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F16,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F17,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F18,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F19,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F20,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F21,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F22,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F23,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+F24,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+0,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Cmd+9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+A,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
